Event,Time,SfcId,Result,Resource,Vnffgs,Reason
-,183.4918304467241,83,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",
-,183.5046275726732,66,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",
+,184.0,95,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,184.98911849910488,82,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",
-,185.77598581626762,86,True,"[14401.841366611092, 23999998.113846708, 1105879.7437243822]","[78, 81, 85, 90, 93]",
+,186.0,96,False,"[14401.841366611092, 23999998.113846708, 1105879.7437243822]","[78, 81, 85, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,189.47216628119315,78,True,"[14420.118143706342, 23999998.378131922, 1105948.780171145]","[81, 85, 90, 93]",
-,189.48880244080792,76,False,"[14420.118143706342, 23999998.378131922, 1105948.780171145]","[81, 85, 90, 93]",
+,190.0,97,True,"[14410.032451731026, 23999997.874122687, 1105928.860459102]","[81, 85, 90, 93, 97]",
t,190.0,81,False,"[14420.175460296394, 23999998.23984881, 1105927.2322772488]","[85, 90, 93, 97]",SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
t,190.0,85,True,"[14420.175460296396, 23999998.239848815, 1105941.4328201863]","[85, 90, 93, 97]",
t,190.0,90,True,"[14420.175460296396, 23999998.23984881, 1105900.1850105857]","[85, 90, 93, 97]",
t,190.0,93,True,"[14420.175460296394, 23999998.23984881, 1105855.7967310771]","[85, 90, 93, 97]",
t,190.0,97,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,190.28552896506883,69,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",
-,190.69506626105394,81,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",
+,191.0,98,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,194.0,99,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,194.11012765971512,71,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",
+,195.0,100,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,195.6110416580244,97,False,"[14430.261152271712, 23999998.74385805, 1105872.880311607]","[85, 90, 93]",
+,197.0,101,True,"[14412.387526019362, 23999998.272587307, 1105796.7063199412]","[85, 90, 93, 101]",
-,198.14653797011667,94,False,"[14412.387526019362, 23999998.272587307, 1105796.7063199412]","[85, 90, 93, 101]",
+,200.0,102,False,"[14412.387526019362, 23999998.272587307, 1105796.7063199412]","[85, 90, 93, 101]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
