Event,Time,SfcId,Result,Resource,Vnffgs,Reason
+,52.0,75,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,52.0,76,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,54.324220249936715,67,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,54.36048276374012,73,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,54.95853528782632,69,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
+,55.0,77,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,55.507155467329476,66,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,55.96246551113752,68,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
+,56.0,78,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,57.0,79,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,57.0759528092836,72,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,57.74941811650598,70,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,57.79952573361001,74,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,57.871531116098026,71,True,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,59.0,80,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,59.93912836092143,75,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,60.16884124970552,76,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,63.0,81,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,63.0,82,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,63.0,83,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,63.0,84,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,63.68596992101004,78,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,64.35189577636953,77,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,65.0,85,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,65.77316835616864,80,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
