Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
t,170.0,78,True,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],"dict_values([24, 27, 3, 39, 23])",
-,170.55166412842908,71,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,
+,172.0,79,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,175.0,80,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,176.93779736769636,67,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,
+,177.0,81,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,178.0,82,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,178.17867618488003,62,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,
-,178.9222083847593,61,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,
+,179.0,83,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,179.58045322590743,65,False,"[np.int64(16228), np.int64(23999984), np.int64(1102412)]",[78],,
t,180.0,78,True,"[np.int64(16228), np.int64(23999984), np.int64(1092120)]",[78],"dict_values([24, 17, 30, 36, 23])",
+,181.0,84,False,"[np.int64(16228), np.int64(23999984), np.int64(1092120)]",[78],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,183.03170694267936,66,False,"[np.int64(16228), np.int64(23999984), np.int64(1092120)]",[78],,
+,184.0,85,True,"[np.int64(16192), np.int64(23999948), np.int64(1090178)]","[78, 85]","dict_values([33, 24, 40, 7, 36, 46, 26])",
-,184.2069350754429,63,False,"[np.int64(16192), np.int64(23999948), np.int64(1090178)]","[78, 85]",,
+,185.0,86,False,"[np.int64(16192), np.int64(23999948), np.int64(1090178)]","[78, 85]",,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,186.0,87,False,"[np.int64(16192), np.int64(23999948), np.int64(1090178)]","[78, 85]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,187.20224891653984,68,False,"[np.int64(16192), np.int64(23999948), np.int64(1090178)]","[78, 85]",,
+,188.0,88,True,"[np.int64(16169), np.int64(23999928), np.int64(1089182)]","[78, 85, 88]","dict_values([1, 15, 14, 10, 36])",
-,188.20941659105142,73,False,"[np.int64(16169), np.int64(23999928), np.int64(1089182)]","[78, 85, 88]",,
t,190.0,78,True,"[np.int64(16169), np.int64(23999928), np.int64(1095752)]","[78, 85, 88]","dict_values([24, 9, 43, 36, 23])",
t,190.0,85,True,"[np.int64(16169), np.int64(23999928), np.int64(1095524)]","[78, 85, 88]","dict_values([33, 1, 29, 2, 31, 29, 26])",
t,190.0,88,True,"[np.int64(16169), np.int64(23999928), np.int64(1095332)]","[78, 85, 88]","dict_values([1, 35, 5, 42, 36])",
+,191.0,89,True,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]","dict_values([23, 33, 8, 6, 10, 17, 13, 39])",
-,191.52456426618483,64,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,
-,191.86477019408431,69,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,
-,193.7835993908217,80,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,
+,194.0,90,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,195.0,91,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,195.59174524959914,70,False,"[np.int64(16128), np.int64(23999889), np.int64(1093924)]","[78, 85, 88, 89]",,
+,197.0,92,True,"[np.int64(16106), np.int64(23999858), np.int64(1092796)]","[78, 85, 88, 89, 92]","dict_values([18, 28, 29, 37, 27, 17])",
